Date,Total Infections,Total Recoveries
2020-01-31,2.0,0.0
2020-02-01,2.0,0.0
2020-02-02,2.0,0.0
2020-02-03,2.0,0.0
2020-02-04,2.0,0.0
2020-02-05,2.0,0.0
2020-02-06,2.0,0.0
2020-02-07,3.0,0.0
2020-02-08,3.0,0.0
2020-02-09,3.0,0.0
2020-02-10,3.0,0.0
2020-02-11,3.0,0.0
2020-02-12,3.0,0.0
2020-02-13,3.0,0.0
2020-02-14,3.0,0.0
2020-02-15,3.0,0.0
2020-02-16,3.0,0.0
2020-02-17,3.0,0.0
2020-02-18,3.0,0.0
2020-02-19,3.0,0.0
2020-02-20,3.0,0.0
2020-02-21,20.0,1.0
2020-02-22,62.0,3.0
2020-02-23,155.0,5.0
2020-02-24,229.0,8.0
2020-02-25,322.0,11.0
2020-02-26,453.0,15.0
2020-02-27,655.0,62.0
2020-02-28,888.0,67.0
2020-02-29,1128.0,75.0
2020-03-01,1694.0,117.0
2020-03-02,2036.0,201.0
2020-03-03,2502.0,239.0
2020-03-04,3089.0,383.0
2020-03-05,3858.0,562.0
2020-03-06,4636.0,720.0
2020-03-07,5883.0,822.0
2020-03-08,7375.0,988.0
2020-03-09,9172.0,1187.0
2020-03-10,10149.0,1355.0
2020-03-11,12462.0,1872.0
2020-03-12,12462.0,1872.0
2020-03-13,17660.0,2705.0
2020-03-14,21157.0,3407.0
2020-03-15,24747.0,4144.0
2020-03-16,27980.0,4907.0
2020-03-17,31506.0,5444.0
2020-03-18,35713.0,7003.0
2020-03-19,41035.0,7845.0
2020-03-20,47021.0,8472.0
2020-03-21,53578.0,10897.0
2020-03-22,59138.0,12500.0
2020-03-23,63927.0,13509.0
2020-03-24,69176.0,15146.0
2020-03-25,74386.0,16865.0
2020-03-26,80589.0,18576.0
2020-03-27,86498.0,20084.0
2020-03-28,92472.0,22407.0
2020-03-29,97689.0,23809.0
2020-03-30,101739.0,26211.0
2020-03-31,105792.0,28157.0
2020-04-01,110574.0,30002.0
2020-04-02,115242.0,32193.0
2020-04-03,119827.0,34439.0
2020-04-04,124632.0,36358.0
2020-04-05,128948.0,37702.0
2020-04-06,132547.0,39360.0
2020-04-07,135586.0,41519.0
2020-04-08,139422.0,44160.0
2020-04-09,143626.0,46749.0
2020-04-10,147577.0,49304.0
2020-04-11,152271.0,52002.0
2020-04-12,156363.0,54110.0
2020-04-13,159516.0,55900.0
2020-04-14,162488.0,58197.0
2020-04-15,165155.0,59737.0
2020-04-16,168941.0,62334.0
2020-04-17,172434.0,65472.0
2020-04-18,175925.0,68154.0
2020-04-19,178972.0,70715.0
2020-04-20,181228.0,72991.0
2020-04-21,183957.0,76248.0
2020-04-22,187327.0,79628.0
2020-04-23,189973.0,83125.0
2020-04-24,192994.0,86467.0
2020-04-25,195351.0,89504.0
2020-04-26,197675.0,91572.0
2020-04-27,199414.0,93601.0
2020-04-28,201505.0,96300.0
2020-04-29,203591.0,98934.0
2020-04-30,205463.0,103912.0
2020-05-01,207428.0,106485.0
2020-05-02,209328.0,108624.0
2020-05-03,210717.0,110538.0
2020-05-04,211938.0,111958.0
2020-05-05,213013.0,114546.0
2020-05-06,214457.0,122929.0
2020-05-07,215858.0,126234.0
2020-05-08,217185.0,129224.0
2020-05-09,218268.0,133426.0
2020-05-10,219070.0,135746.0
2020-05-11,219814.0,137326.0
2020-05-12,221216.0,139950.0
2020-05-13,222104.0,143647.0
2020-05-14,223096.0,146656.0
2020-05-15,223885.0,151815.0
2020-05-16,224760.0,154573.0
2020-05-17,225435.0,157084.0
2020-05-18,225886.0,159333.0
2020-05-19,226699.0,161570.0
2020-05-20,227364.0,164612.0
2020-05-21,228006.0,167046.0
2020-05-22,228658.0,169336.0
2020-05-23,229327.0,171575.0
2020-05-24,229858.0,173264.0
2020-05-25,230158.0,174858.0
2020-05-26,230555.0,177613.0
2020-05-27,231139.0,180173.0
2020-05-28,231732.0,183746.0
2020-05-29,232248.0,186073.0
2020-05-30,232664.0,188973.0
2020-05-31,232997.0,190922.0
2020-06-01,233197.0,191830.0
2020-06-02,233515.0,193622.0
2020-06-03,233836.0,194539.0
2020-06-04,234013.0,195584.0
2020-06-05,234531.0,197555.0
2020-06-06,234801.0,198924.0
2020-06-07,234998.0,199736.0
2020-06-08,235278.0,200548.0
2020-06-09,235561.0,202689.0
2020-06-10,235763.0,204053.0
2020-06-11,236142.0,205505.0
2020-06-12,236305.0,207308.0
2020-06-13,236651.0,209166.0
2020-06-14,236989.0,210715.0
2020-06-15,237290.0,211381.0
2020-06-16,237500.0,212931.0
2020-06-17,237828.0,213903.0
2020-06-18,238159.0,215058.0
2020-06-19,238011.0,216468.0
2020-06-20,238275.0,217063.0
2020-06-21,238499.0,217527.0
2020-06-22,238720.0,218083.0
2020-06-23,238833.0,219260.0
2020-06-24,239410.0,220755.0
2020-06-25,239706.0,221403.0
2020-06-26,239961.0,222323.0
2020-06-27,240136.0,223300.0
2020-06-28,240310.0,223629.0
2020-06-29,240436.0,223940.0
2020-06-30,240578.0,225015.0
2020-07-01,240760.0,225505.0
2020-07-02,240961.0,225901.0
2020-07-03,241184.0,226300.0
2020-07-04,241419.0,226798.0
2020-07-05,241611.0,226969.0
2020-07-06,241819.0,227110.0
2020-07-07,241956.0,227714.0
2020-07-08,242149.0,228554.0
2020-07-09,242363.0,228904.0
2020-07-10,242639.0,229211.0
2020-07-11,242827.0,229524.0
2020-07-12,243061.0,229882.0
2020-07-13,243230.0,230073.0
2020-07-14,243344.0,230425.0
2020-07-15,243506.0,231013.0
2020-07-16,243736.0,231263.0
2020-07-17,243967.0,231511.0
2020-07-18,244216.0,231848.0
2020-07-19,244434.0,231994.0
2020-07-20,244624.0,232220.0
2020-07-21,244752.0,232504.0
2020-07-22,245032.0,232710.0
2020-07-23,245338.0,232934.0
2020-07-24,245590.0,233289.0
2020-07-25,245864.0,233422.0
2020-07-26,246118.0,233553.0
2020-07-27,246286.0,233705.0
2020-07-28,246488.0,233879.0
2020-07-29,246776.0,234160.0
2020-07-30,247158.0,234928.0
2020-07-31,247537.0,235115.0
