Date,Total Infections,Total Recoveries,Infected,New Infections,New Recoveries
2020-01-31,2,0,2,0,0
2020-02-01,2,0,2,0,0
2020-02-02,2,0,2,0,0
2020-02-03,2,0,2,0,0
2020-02-04,2,0,2,0,0
2020-02-05,2,0,2,0,0
2020-02-06,2,0,2,0,0
2020-02-07,3,0,3,1,0
2020-02-08,3,0,3,0,0
2020-02-09,3,0,3,0,0
2020-02-10,3,0,3,0,0
2020-02-11,3,0,3,0,0
2020-02-12,3,0,3,0,0
2020-02-13,3,0,3,0,0
2020-02-14,3,0,3,0,0
2020-02-15,3,0,3,0,0
2020-02-16,3,0,3,0,0
2020-02-17,3,0,3,0,0
2020-02-18,3,0,3,0,0
2020-02-19,3,0,3,0,0
2020-02-20,3,0,3,0,0
2020-02-21,20,1,19,17,1
2020-02-22,62,3,59,42,2
2020-02-23,155,5,150,93,2
2020-02-24,229,8,221,74,3
2020-02-25,322,11,311,93,3
2020-02-26,453,15,438,131,4
2020-02-27,655,62,593,202,47
2020-02-28,888,67,821,233,5
2020-02-29,1128,75,1053,240,8
2020-03-01,1694,117,1577,566,42
2020-03-02,2036,201,1835,342,84
2020-03-03,2502,239,2263,466,38
2020-03-04,3089,383,2706,587,144
2020-03-05,3858,562,3296,769,179
2020-03-06,4636,720,3916,778,158
2020-03-07,5883,822,5061,1247,102
2020-03-08,7375,988,6387,1492,166
2020-03-09,9172,1187,7985,1797,199
2020-03-10,10149,1355,8794,977,168
2020-03-11,12462,1872,10590,2313,517
2020-03-12,12462,1872,10590,0,0
2020-03-13,17660,2705,14955,5198,833
2020-03-14,21157,3407,17750,3497,702
2020-03-15,24747,4144,20603,3590,737
2020-03-16,27980,4907,23073,3233,763
2020-03-17,31506,5444,26062,3526,537
2020-03-18,35713,7003,28710,4207,1559
2020-03-19,41035,7845,33190,5322,842
2020-03-20,47021,8472,38549,5986,627
2020-03-21,53578,10897,42681,6557,2425
2020-03-22,59138,12500,46638,5560,1603
2020-03-23,63927,13509,50418,4789,1009
2020-03-24,69176,15146,54030,5249,1637
2020-03-25,74386,16865,57521,5210,1719
2020-03-26,80589,18576,62013,6203,1711
2020-03-27,86498,20084,66414,5909,1508
